ID,OriginAlat,OriginAlong,DestinationAlat,DestinationAlong,OriginBlat,OriginBlong,DestinationBlat,DestinationBlong,aDist,aTime,bDist,bTime,aoverlapDist,aoverlapTime,boverlapDist,boverlapTime,aBeforeDist,aBeforeTime,aAfterDist,aAfterTime,bBeforeDist,bBeforeTime,bAfterDist,bAfterTime
R1,5.373588,-3.998759,5.32781,-4.005012,5.373588,-3.998759,5.32781,-4.005012,5.348,13.033333333333333,5.348,13.033333333333333,5.348,13.05,5.348,13.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,5.373588,-3.998759,5.32781,-4.005012,5.361826,-3.990009,5.322763,-4.00227,5.348,13.033333333333333,5.868,14.683333333333334,4.0,9.5,3.998,9.866666666666667,1.186,3.183333333333333,0.163,0.36666666666666664,0.746,1.45,1.122,3.3666666666666667
R3,5.373588,-3.99876,5.32781,-4.005013,5.368385,-4.006019,5.335087,-3.995491,5.348,13.05,6.116,16.183333333333334,4.062,9.95,4.063,10.333333333333334,0.496,1.6166666666666667,0.79,1.4666666666666666,0.761,3.1666666666666665,1.294,2.716666666666667
R4,5.373588,-3.998761,5.32781,-4.005014,5.355748,-3.96982,5.333238,-4.006999,5.348,13.05,6.366,15.533333333333333,1.111,3.05,1.111,3.1166666666666667,3.426,8.466666666666667,0.811,1.5333333333333334,4.814,10.783333333333333,0.441,1.6333333333333333
R5,5.373588,-3.998762,5.32781,-4.005015,5.392951,-3.975507,5.347369,-4.003102,5.348,13.05,10.556,24.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R6,5.361826,-3.990009,5.322763,-4.00227,5.368385,-4.006019,5.335087,-3.995491,5.868,14.683333333333334,6.116,16.183333333333334,3.371,8.7,3.372,8.366666666666667,0.747,1.4666666666666666,1.75,4.55,1.452,5.116666666666666,1.294,2.716666666666667
R7,5.355748,-3.96982,5.333238,-4.006999,5.392951,-3.975507,5.347369,-4.003102,6.366,15.533333333333333,10.556,24.666666666666668,5.021,11.4,4.784,10.133333333333333,0.0,0.0,1.345,4.133333333333334,5.204,12.833333333333334,0.568,1.7166666666666666
