OriginA,DestinationA,OriginB,DestinationB,aDist,aTime,bDist,bTime,overlapDist,overlapTime
"5.373588,-3.998759","5.327810,-4.005012","5.373588,-3.998759","5.327810,-4.005012",5.348,12.983333333333333,5.348,12.983333333333333,5.348,13.0
"5.373588,-3.998759","5.327810,-4.005012","5.361826,-3.990009","5.322763,-4.002270",5.348,12.983333333333333,5.868,14.766666666666667,3.498,8.383333333333333
"5.373588,-3.998760","5.327810,-4.005013","5.368385,-4.006019","5.335087,-3.995491",5.348,13.0,6.116,16.216666666666665,3.93,9.5
"5.373588,-3.998761","5.327810,-4.005014","5.355748,-3.969820","5.333238,-4.006999",5.348,13.0,6.366,15.466666666666667,0.994,2.7333333333333334
"5.373588,-3.998762","5.327810,-4.005015","5.392951,-3.975507","5.347369,-4.003102",5.348,13.0,10.556,24.766666666666666,0.475,1.0833333333333333
"5.361826,-3.990009","5.322763,-4.002270","5.368385,-4.006019","5.335087,-3.995491",5.868,14.766666666666667,6.116,16.216666666666665,3.314,8.433333333333334
"5.355748,-3.969820","5.333238,-4.006999","5.392951,-3.975507","5.347369,-4.003102",6.366,15.466666666666667,10.556,24.766666666666666,4.97,11.233333333333333
