OriginA,DestinationA,OriginB,DestinationB,aDist,aTime,bDist,bTime,aoverlapDist,aoverlapTime,boverlapDist,boverlapTime,aBeforeDist,aBeforeTime,aAfterDist,aAfterTime,bBeforeDist,bBeforeTime,bAfterDist,bAfterTime
"5.373588,-3.998759","5.327810,-4.005012","5.373588,-3.998759","5.327810,-4.005012",5.348,12.983333333333333,5.348,12.983333333333333,5.348,12.983333333333333,5.348,12.983333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5.373588,-3.998759","5.327810,-4.005012","5.361826,-3.990009","5.322763,-4.002270",5.348,12.983333333333333,5.868,14.766666666666667,3.498,8.383333333333333,3.941,9.616666666666667,1.382,3.6333333333333333,0.468,0.9833333333333333,0.789,1.6166666666666667,1.136,3.5
"5.373588,-3.998760","5.327810,-4.005013","5.368385,-4.006019","5.335087,-3.995491",5.348,13.0,6.116,16.216666666666665,3.93,9.5,3.98,9.85,0.595,1.9,0.824,1.5833333333333333,0.808,3.5,1.33,2.8
"5.373588,-3.998761","5.327810,-4.005014","5.355748,-3.969820","5.333238,-4.006999",5.348,13.0,6.366,15.466666666666667,0.994,2.7333333333333334,1.02,2.7666666666666666,3.528,8.633333333333333,0.824,1.5833333333333333,4.892,10.933333333333334,0.452,1.6666666666666667
"5.373588,-3.998762","5.327810,-4.005015","5.392951,-3.975507","5.347369,-4.003102",5.348,13.0,10.556,24.766666666666666,0.475,1.0833333333333333,0.698,2.033333333333333,3.08,7.65,1.79,4.25,9.857,22.666666666666668,0.0,0.0
"5.361826,-3.990009","5.322763,-4.002270","5.368385,-4.006019","5.335087,-3.995491",5.868,14.766666666666667,6.116,16.216666666666665,3.314,8.433333333333334,3.297,8.116666666666667,0.789,1.6166666666666667,1.765,4.683333333333334,1.491,5.3,1.33,2.8
"5.355748,-3.969820","5.333238,-4.006999","5.392951,-3.975507","5.347369,-4.003102",6.366,15.466666666666667,10.556,24.766666666666666,4.97,11.233333333333333,4.758,9.983333333333333,0.0,0.0,1.396,4.216666666666667,5.222,13.066666666666666,0.575,1.7166666666666666
