ID,OriginAlat,OriginAlong,DestinationAlat,DestinationAlong,OriginBlat,OriginBlong,DestinationBlat,DestinationBlong,aDist,aTime,bDist,bTime,aoverlapDist,aoverlapTime,boverlapDist,boverlapTime
R1,5.373588,-3.998759,5.32781,-4.005012,5.373588,-3.998759,5.32781,-4.005012,5.348,13.033333333333333,5.348,13.033333333333333,5.348,13.033333333333333,5.348,13.033333333333333
R2,5.373588,-3.998759,5.32781,-4.005012,5.361826,-3.990009,5.322763,-4.00227,5.348,13.033333333333333,5.868,14.683333333333334,3.498,8.416666666666666,3.941,9.65
R3,5.373588,-3.99876,5.32781,-4.005013,5.368385,-4.006019,5.335087,-3.995491,5.348,13.05,6.116,16.183333333333334,3.93,9.533333333333333,3.98,9.883333333333333
R4,5.373588,-3.998761,5.32781,-4.005014,5.355748,-3.96982,5.333238,-4.006999,5.348,13.05,6.366,15.533333333333333,0.994,2.7666666666666666,1.02,2.8
R5,5.373588,-3.998762,5.32781,-4.005015,5.392951,-3.975507,5.347369,-4.003102,5.348,13.05,10.556,24.666666666666668,0.475,1.0833333333333333,0.698,2.033333333333333
R6,5.361826,-3.990009,5.322763,-4.00227,5.368385,-4.006019,5.335087,-3.995491,5.868,14.683333333333334,6.116,16.183333333333334,3.314,8.466666666666667,3.297,8.15
R7,5.355748,-3.96982,5.333238,-4.006999,5.392951,-3.975507,5.347369,-4.003102,6.366,15.533333333333333,10.556,24.666666666666668,4.97,11.3,4.758,10.05
